US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21713168,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,2.2977,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0.626713670192,%,100,2.2977,Disturbance,Agriculture,PctAg2006Slp10Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,5.5413,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0.259866818256,%,100,5.5413,Disturbance,Agriculture,PctAg2006Slp10Ws
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,2.2977,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,2.2977,Disturbance,Agriculture,PctAg2006Slp20Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,5.5413,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,5.5413,Disturbance,Agriculture,PctAg2006Slp20Ws
Agricultural Nitrogen Inputs,Catchment,2.2977,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the local catchment.,0.504112808460635,kg/ha/yr,100,2.2977,Disturbance,Pollution,CBNFCat
Agricultural Nitrogen Inputs,Watershed,5.5413,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the total upstream watershed.,0.23339288614585,kg/ha/yr,100,5.5413,Disturbance,Pollution,CBNFWs
Agricultural Nitrogen Inputs,Catchment,2.2977,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the local catchment.,9.41010575793185,kg/ha/yr,100,2.2977,Disturbance,Pollution,FertCat
Agricultural Nitrogen Inputs,Watershed,5.5413,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the total upstream watershed.,4.35666720805587,kg/ha/yr,100,5.5413,Disturbance,Pollution,FertWs
Agricultural Nitrogen Inputs,Catchment,2.2977,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the local catchment.,0,kg/ha/yr,100,2.2977,Disturbance,Pollution,ManureCat
Agricultural Nitrogen Inputs,Watershed,5.5413,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the total upstream watershed.,0,kg/ha/yr,100,5.5413,Disturbance,Pollution,ManureWs
Base Flow Index,Catchment,2.2977,"Ratio of base flow to total flow, expressed as a percentage within the local catchment.",46.8519388954172,%,100,2.2977,Natural,Hydrology,BFICat
Base Flow Index,Watershed,5.5413,"Ratio of base flow to total flow, expressed as a percentage within the total upstream watershed.",46.9386064641871,%,100,5.5413,Natural,Hydrology,BFIWs
Canal Density,Catchment,2.2977,"Density of NHDPlusV2 line features within the local catchment classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,2.2977,Disturbance,Infrastructure,CanalDensCat
Canal Density,Watershed,5.5413,"Density of NHDPlusV2 line features within the total upstream watershed classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,5.5413,Disturbance,Infrastructure,CanalDensWs
National Coal Resource Dataset System,Catchment,2.2977,Density of georeferenced coal mine sites within the local catchment.,0,sites/km²,100,2.2977,Disturbance,Mines,CoalMineDensCat
National Coal Resource Dataset System,Watershed,5.5413,Density of georeferenced coal mine sites within the total upstream watershed.,0,sites/km²,100,5.5413,Disturbance,Mines,CoalMineDensWs
Dam Density and Storage Volume,Catchment,2.2977,Density of georeferenced dams within the local catchment.,0,dams/km²,100,2.2977,Disturbance,Infrastructure,DamDensCat
Dam Density and Storage Volume,Watershed,5.5413,Density of georeferenced dams within the upstream watershed.,0,dams/km²,100,5.5413,Disturbance,Infrastructure,DamDensWs
Dam Density and Storage Volume,Catchment,2.2977,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the local catchment.,0,m³/km²,100,2.2977,Disturbance,Infrastructure,DamNIDStorM3Cat
Dam Density and Storage Volume,Watershed,5.5413,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the total upstream watershed.,0,m³/km²,100,5.5413,Disturbance,Infrastructure,DamNIDStorM3Ws
Dam Density and Storage Volume,Catchment,2.2977,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the local catchment.,0,m³/km²,100,2.2977,Disturbance,Infrastructure,DamNrmStorM3Cat
