US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21712424,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,1.7253,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0,%,100,1.7253,Disturbance,Agriculture,PctAg2006Slp10Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.7253,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0,%,100,1.7253,Disturbance,Agriculture,PctAg2006Slp10Ws
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,1.7253,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,1.7253,Disturbance,Agriculture,PctAg2006Slp20Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.7253,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,1.7253,Disturbance,Agriculture,PctAg2006Slp20Ws
Agricultural Nitrogen Inputs,Catchment,1.7253,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the local catchment.,0.184663537,kg/ha/yr,100,1.7253,Disturbance,Pollution,CBNFCat
Agricultural Nitrogen Inputs,Watershed,1.7253,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the total upstream watershed.,0.184663537,kg/ha/yr,100,1.7253,Disturbance,Pollution,CBNFWs
Agricultural Nitrogen Inputs,Catchment,1.7253,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the local catchment.,3.447052686,kg/ha/yr,100,1.7253,Disturbance,Pollution,FertCat
Agricultural Nitrogen Inputs,Watershed,1.7253,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the total upstream watershed.,3.447052686,kg/ha/yr,100,1.7253,Disturbance,Pollution,FertWs
Agricultural Nitrogen Inputs,Catchment,1.7253,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the local catchment.,0,kg/ha/yr,100,1.7253,Disturbance,Pollution,ManureCat
Agricultural Nitrogen Inputs,Watershed,1.7253,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the total upstream watershed.,0,kg/ha/yr,100,1.7253,Disturbance,Pollution,ManureWs
Base Flow Index,Catchment,1.7253,"Ratio of base flow to total flow, expressed as a percentage within the local catchment.",46.90453834,%,100,1.7253,Natural,Hydrology,BFICat
Base Flow Index,Watershed,1.7253,"Ratio of base flow to total flow, expressed as a percentage within the total upstream watershed.",46.90453834,%,100,1.7253,Natural,Hydrology,BFIWs
Canal Density,Catchment,1.7253,"Density of NHDPlusV2 line features within the local catchment classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,1.7253,Disturbance,Infrastructure,CanalDensCat
Canal Density,Watershed,1.7253,"Density of NHDPlusV2 line features within the total upstream watershed classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,1.7253,Disturbance,Infrastructure,CanalDensWs
National Coal Resource Dataset System,Catchment,1.7253,Density of georeferenced coal mine sites within the local catchment.,0,sites/km²,100,1.7253,Disturbance,Mines,CoalMineDensCat
National Coal Resource Dataset System,Watershed,1.7253,Density of georeferenced coal mine sites within the total upstream watershed.,0,sites/km²,100,1.7253,Disturbance,Mines,CoalMineDensWs
Dam Density and Storage Volume,Catchment,1.7253,Density of georeferenced dams within the local catchment.,0,dams/km²,100,1.7253,Disturbance,Infrastructure,DamDensCat
Dam Density and Storage Volume,Watershed,1.7253,Density of georeferenced dams within the upstream watershed.,0,dams/km²,100,1.7253,Disturbance,Infrastructure,DamDensWs
Dam Density and Storage Volume,Catchment,1.7253,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the local catchment.,0,m³/km²,100,1.7253,Disturbance,Infrastructure,DamNIDStorM3Cat
Dam Density and Storage Volume,Watershed,1.7253,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the total upstream watershed.,0,m³/km²,100,1.7253,Disturbance,Infrastructure,DamNIDStorM3Ws
Dam Density and Storage Volume,Catchment,1.7253,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the local catchment.,0,m³/km²,100,1.7253,Disturbance,Infrastructure,DamNrmStorM3Cat
Dam Density and Storage Volume,Watershed,1.7253,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the total upstream watershed.,0,m³/km²,100,1.7253,Disturbance,Infrastructure,DamNrmStorM3Ws
National Elevation Dataset,Catchment,1.7253,Mean of all elev_cm values within the local catchment divided by 100 to convert cm to m.,196.8180334,m,100,1.7253,Natural,Topography,ElevCat
National Elevation Dataset,Watershed,1.7253,Mean of all elev_cm values within the upstream watershed divided by 100 to convert cm to m.,196.8180334,m,100,1.7253,Natural,Topography,ElevWs
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Catchment,1.7253,Density of georeferenced National Pollutant Discharge Elimination System sites within the local catchment.,0,sites/km²,100,1.7253,Disturbance,Pollution,NPDESDensCat
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Watershed,1.7253,Density of georeferenced National Pollutant Discharge Elimination System sites within the upstream watershed.,0,sites/km²,100,1.7253,Disturbance,Pollution,NPDESDensWs
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Catchment,0.3843,Density of georeferenced National Pollutant Discharge Elimination System sites within the riparian mask of the local catchment.,0,sites/km²,100,0.3843,Disturbance,Pollution,NPDESDensCatRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Watershed,0.3843,Density of georeferenced National Pollutant Discharge Elimination System sites within the riparian mask of the upstream watershed.,0,sites/km²,100,0.3843,Disturbance,Pollution,NPDESDensWsRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Catchment,1.7253,Density of georeferenced Superfund sites within the local catchment.,0,sites/km²,100,1.7253,Disturbance,Pollution,SuperfundDensCat
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Watershed,1.7253,Density of georeferenced Superfund sites within the upstream watershed.,0,sites/km²,100,1.7253,Disturbance,Pollution,SuperfundDensWs
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Catchment,0.3843,Density of georeferenced Superfund sites within the riparian mask of the local catchment.,0,sites/km²,100,0.3843,Disturbance,Pollution,SuperfundDensCatRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Watershed,0.3843,Density of georeferenced Superfund sites within the riparian mask of the upstream watershed.,0,sites/km²,100,0.3843,Disturbance,Pollution,SuperfundDensWsRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Catchment,1.7253,Density of georeferenced Toxic Release Inventory sites within the local catchment.,0,sites/km²,100,1.7253,Disturbance,Pollution,TRIDensCat
