US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21713338,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,0.8847,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0.508646998983,%,100,0.8847,Disturbance,Agriculture,PctAg2006Slp10Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,8.2458,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0.240122244052,%,100,8.2458,Disturbance,Agriculture,PctAg2006Slp10Ws
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,0.8847,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,0.8847,Disturbance,Agriculture,PctAg2006Slp20Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,8.2458,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,8.2458,Disturbance,Agriculture,PctAg2006Slp20Ws
Agricultural Nitrogen Inputs,Catchment,0.8847,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the local catchment.,0.254323499491353,kg/ha/yr,100,0.8847,Disturbance,Pollution,CBNFCat
Agricultural Nitrogen Inputs,Watershed,8.2458,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the total upstream watershed.,0.702357563850688,kg/ha/yr,100,8.2458,Disturbance,Pollution,CBNFWs
Agricultural Nitrogen Inputs,Catchment,0.8847,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the local catchment.,4.45066124109868,kg/ha/yr,100,0.8847,Disturbance,Pollution,FertCat
Agricultural Nitrogen Inputs,Watershed,8.2458,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the total upstream watershed.,12.8127046496398,kg/ha/yr,100,8.2458,Disturbance,Pollution,FertWs
Agricultural Nitrogen Inputs,Catchment,0.8847,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the local catchment.,0,kg/ha/yr,100,0.8847,Disturbance,Pollution,ManureCat
Agricultural Nitrogen Inputs,Watershed,8.2458,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the total upstream watershed.,0,kg/ha/yr,100,8.2458,Disturbance,Pollution,ManureWs
Base Flow Index,Catchment,0.8847,"Ratio of base flow to total flow, expressed as a percentage within the local catchment.",44,%,100,0.8847,Natural,Hydrology,BFICat
Base Flow Index,Watershed,8.2458,"Ratio of base flow to total flow, expressed as a percentage within the total upstream watershed.",43.9912682820345,%,100,8.2458,Natural,Hydrology,BFIWs
Canal Density,Catchment,0.8847,"Density of NHDPlusV2 line features within the local catchment classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,0.8847,Disturbance,Infrastructure,CanalDensCat
Canal Density,Watershed,8.2458,"Density of NHDPlusV2 line features within the total upstream watershed classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,8.2458,Disturbance,Infrastructure,CanalDensWs
National Coal Resource Dataset System,Catchment,0.8847,Density of georeferenced coal mine sites within the local catchment.,0,sites/km²,100,0.8847,Disturbance,Mines,CoalMineDensCat
National Coal Resource Dataset System,Watershed,8.2458,Density of georeferenced coal mine sites within the total upstream watershed.,0,sites/km²,100,8.2458,Disturbance,Mines,CoalMineDensWs
Dam Density and Storage Volume,Catchment,0.8847,Density of georeferenced dams within the local catchment.,1.13032666441,dams/km²,100,0.8847,Disturbance,Infrastructure,DamDensCat
Dam Density and Storage Volume,Watershed,8.2458,Density of georeferenced dams within the upstream watershed.,0.242547721264,dams/km²,100,8.2458,Disturbance,Infrastructure,DamDensWs
Dam Density and Storage Volume,Catchment,0.8847,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the local catchment.,329039.538827,m³/km²,100,0.8847,Disturbance,Infrastructure,DamNIDStorM3Cat
Dam Density and Storage Volume,Watershed,8.2458,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the total upstream watershed.,40089.8202721,m³/km²,100,8.2458,Disturbance,Infrastructure,DamNIDStorM3Ws
Dam Density and Storage Volume,Catchment,0.8847,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the local catchment.,278847.066802,m³/km²,100,0.8847,Disturbance,Infrastructure,DamNrmStorM3Cat
Dam Density and Storage Volume,Watershed,8.2458,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the total upstream watershed.,33507.9094812,m³/km²,100,8.2458,Disturbance,Infrastructure,DamNrmStorM3Ws
