US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21714932,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,1.9152,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0,%,100,1.9152,Disturbance,Agriculture,PctAg2006Slp10Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,656.1054,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0.319887628,%,100,656.1054,Disturbance,Agriculture,PctAg2006Slp10Ws
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,1.9152,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,1.9152,Disturbance,Agriculture,PctAg2006Slp20Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,656.1054,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0.004389539,%,100,656.1054,Disturbance,Agriculture,PctAg2006Slp20Ws
Agricultural Nitrogen Inputs,Catchment,1.9152,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the local catchment.,0.021616541,kg/ha/yr,100,1.9152,Disturbance,Pollution,CBNFCat
Agricultural Nitrogen Inputs,Watershed,656.1054,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the total upstream watershed.,0.317846492,kg/ha/yr,100,656.1054,Disturbance,Pollution,CBNFWs
Agricultural Nitrogen Inputs,Catchment,1.9152,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the local catchment.,0.378289474,kg/ha/yr,100,1.9152,Disturbance,Pollution,FertCat
Agricultural Nitrogen Inputs,Watershed,656.1054,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the total upstream watershed.,5.75312686,kg/ha/yr,100,656.1054,Disturbance,Pollution,FertWs
Agricultural Nitrogen Inputs,Catchment,1.9152,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the local catchment.,0,kg/ha/yr,100,1.9152,Disturbance,Pollution,ManureCat
Agricultural Nitrogen Inputs,Watershed,656.1054,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the total upstream watershed.,0,kg/ha/yr,100,656.1054,Disturbance,Pollution,ManureWs
