US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21711750,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,0.0342,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0,%,100,0.0342,Disturbance,Agriculture,PctAg2006Slp10Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.8729,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is greater than 10%.,1.53772224892,%,100,1.8729,Disturbance,Agriculture,PctAg2006Slp10Ws
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,0.0342,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,0.0342,Disturbance,Agriculture,PctAg2006Slp20Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.8729,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,1.8729,Disturbance,Agriculture,PctAg2006Slp20Ws
Agricultural Nitrogen Inputs,Catchment,0.0342,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the local catchment.,0.157894736842105,kg/ha/yr,100,0.0342,Disturbance,Pollution,CBNFCat
Agricultural Nitrogen Inputs,Watershed,1.8729,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the total upstream watershed.,1.38971648246036,kg/ha/yr,100,1.8729,Disturbance,Pollution,CBNFWs
Agricultural Nitrogen Inputs,Catchment,0.0342,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the local catchment.,2.94736842105263,kg/ha/yr,100,0.0342,Disturbance,Pollution,FertCat
Agricultural Nitrogen Inputs,Watershed,1.8729,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the total upstream watershed.,25.94137433926,kg/ha/yr,100,1.8729,Disturbance,Pollution,FertWs
Agricultural Nitrogen Inputs,Catchment,0.0342,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the local catchment.,0,kg/ha/yr,100,0.0342,Disturbance,Pollution,ManureCat
Agricultural Nitrogen Inputs,Watershed,1.8729,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the total upstream watershed.,0,kg/ha/yr,100,1.8729,Disturbance,Pollution,ManureWs
Base Flow Index,Catchment,0.0342,"Ratio of base flow to total flow, expressed as a percentage within the local catchment.",48,%,100,0.0342,Natural,Hydrology,BFICat
Base Flow Index,Watershed,1.8729,"Ratio of base flow to total flow, expressed as a percentage within the total upstream watershed.",48.968284478616,%,100,1.8729,Natural,Hydrology,BFIWs
Canal Density,Catchment,0.0342,"Density of NHDPlusV2 line features within the local catchment classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,0.0342,Disturbance,Infrastructure,CanalDensCat
Canal Density,Watershed,1.8729,"Density of NHDPlusV2 line features within the total upstream watershed classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,1.8729,Disturbance,Infrastructure,CanalDensWs
National Coal Resource Dataset System,Catchment,0.0342,Density of georeferenced coal mine sites within the local catchment.,0,sites/km²,100,0.0342,Disturbance,Mines,CoalMineDensCat
National Coal Resource Dataset System,Watershed,1.8729,Density of georeferenced coal mine sites within the total upstream watershed.,0,sites/km²,100,1.8729,Disturbance,Mines,CoalMineDensWs
Dam Density and Storage Volume,Catchment,0.0342,Density of georeferenced dams within the local catchment.,29.2397660819,dams/km²,100,0.0342,Disturbance,Infrastructure,DamDensCat
Dam Density and Storage Volume,Watershed,1.8729,Density of georeferenced dams within the upstream watershed.,0.53393133643,dams/km²,100,1.8729,Disturbance,Infrastructure,DamDensWs
Dam Density and Storage Volume,Catchment,0.0342,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the local catchment.,3029600,m³/km²,100,0.0342,Disturbance,Infrastructure,DamNIDStorM3Cat
Dam Density and Storage Volume,Watershed,1.8729,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the total upstream watershed.,55321.8644882,m³/km²,100,1.8729,Disturbance,Infrastructure,DamNIDStorM3Ws
Dam Density and Storage Volume,Catchment,0.0342,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the local catchment.,2091866.66667,m³/km²,100,0.0342,Disturbance,Infrastructure,DamNrmStorM3Cat
Dam Density and Storage Volume,Watershed,1.8729,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the total upstream watershed.,38198.4302419,m³/km²,100,1.8729,Disturbance,Infrastructure,DamNrmStorM3Ws
National Elevation Dataset,Catchment,0.0342,Mean of all elev_cm values within the local catchment divided by 100 to convert cm to m.,209.751315789,m,100,0.0342,Natural,Topography,ElevCat
National Elevation Dataset,Watershed,1.8729,Mean of all elev_cm values within the upstream watershed divided by 100 to convert cm to m.,225.86390197,m,100,1.8729,Natural,Topography,ElevWs
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Catchment,0.0342,Density of georeferenced National Pollutant Discharge Elimination System sites within the local catchment.,0,sites/km²,100,0.0342,Disturbance,Pollution,NPDESDensCat
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Watershed,1.8729,Density of georeferenced National Pollutant Discharge Elimination System sites within the upstream watershed.,0,sites/km²,100,1.8729,Disturbance,Pollution,NPDESDensWs
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Catchment,0.018,Density of georeferenced National Pollutant Discharge Elimination System sites within the riparian mask of the local catchment.,0,sites/km²,100,0.018,Disturbance,Pollution,NPDESDensCatRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Watershed,0.5832,Density of georeferenced National Pollutant Discharge Elimination System sites within the riparian mask of the upstream watershed.,0,sites/km²,100,0.5832,Disturbance,Pollution,NPDESDensWsRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Catchment,0.0342,Density of georeferenced Superfund sites within the local catchment.,0,sites/km²,100,0.0342,Disturbance,Pollution,SuperfundDensCat
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Watershed,1.8729,Density of georeferenced Superfund sites within the upstream watershed.,0,sites/km²,100,1.8729,Disturbance,Pollution,SuperfundDensWs
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Catchment,0.018,Density of georeferenced Superfund sites within the riparian mask of the local catchment.,0,sites/km²,100,0.018,Disturbance,Pollution,SuperfundDensCatRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Watershed,0.5832,Density of georeferenced Superfund sites within the riparian mask of the upstream watershed.,0,sites/km²,100,0.5832,Disturbance,Pollution,SuperfundDensWsRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Catchment,0.0342,Density of georeferenced Toxic Release Inventory sites within the local catchment.,0,sites/km²,100,0.0342,Disturbance,Pollution,TRIDensCat
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Watershed,1.8729,Density of georeferenced Toxic Release Inventory sites within the upstream watershed.,0,sites/km²,100,1.8729,Disturbance,Pollution,TRIDensWs
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Catchment,0.018,Density of georeferenced Toxic Release Inventory sites within the riparian mask of the local catchment.,0,sites/km²,100,0.018,Disturbance,Pollution,TRIDensCatRp100
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Watershed,0.5832,Density of georeferenced Toxic Release Inventory sites within the riparian mask of the upstream watershed.,0,sites/km²,100,0.5832,Disturbance,Pollution,TRIDensWsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,0.0342,Percentage forest loss to fire (fire perimeter) in 2000 within the local catchment.,0,%,100,0.0342,Disturbance,Disturbance,PctFire2000Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,1.8729,Percentage forest loss to fire (fire perimeter) in 2000 within the total upstream watershed.,0,%,100,1.8729,Disturbance,Disturbance,PctFire2000Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,0.018,Percentage forest loss to fire (fire perimeter) in 2000 within the riparian mask of the local catchment.,0,%,100,0.018,Disturbance,Riparian,PctFire2000CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,0.5832,Percentage forest loss to fire (fire perimeter) in 2000 within the riparian mask of the total upstream watershed.,0,%,100,0.5832,Disturbance,Riparian,PctFire2000WsRp100
