US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21713156,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,1.3347,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is greater than 10%.,2.15778826703,%,100,1.3347,Disturbance,Agriculture,PctAg2006Slp10Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.3347,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is greater than 10%.,2.15778826703,%,100,1.3347,Disturbance,Agriculture,PctAg2006Slp10Ws
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,1.3347,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,1.3347,Disturbance,Agriculture,PctAg2006Slp20Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.3347,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,1.3347,Disturbance,Agriculture,PctAg2006Slp20Ws
Agricultural Nitrogen Inputs,Catchment,1.3347,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the local catchment.,1.65475387727579,kg/ha/yr,100,1.3347,Disturbance,Pollution,CBNFCat
Agricultural Nitrogen Inputs,Watershed,1.3347,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the total upstream watershed.,1.65475387727579,kg/ha/yr,100,1.3347,Disturbance,Pollution,CBNFWs
Agricultural Nitrogen Inputs,Catchment,1.3347,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the local catchment.,30.8887390424815,kg/ha/yr,100,1.3347,Disturbance,Pollution,FertCat
Agricultural Nitrogen Inputs,Watershed,1.3347,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the total upstream watershed.,30.8887390424815,kg/ha/yr,100,1.3347,Disturbance,Pollution,FertWs
Agricultural Nitrogen Inputs,Catchment,1.3347,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the local catchment.,0,kg/ha/yr,100,1.3347,Disturbance,Pollution,ManureCat
Agricultural Nitrogen Inputs,Watershed,1.3347,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the total upstream watershed.,0,kg/ha/yr,100,1.3347,Disturbance,Pollution,ManureWs
Base Flow Index,Catchment,1.3347,"Ratio of base flow to total flow, expressed as a percentage within the local catchment.",49.1341874578557,%,100,1.3347,Natural,Hydrology,BFICat
Base Flow Index,Watershed,1.3347,"Ratio of base flow to total flow, expressed as a percentage within the total upstream watershed.",49.1341874578557,%,100,1.3347,Natural,Hydrology,BFIWs
Canal Density,Catchment,1.3347,"Density of NHDPlusV2 line features within the local catchment classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,1.3347,Disturbance,Infrastructure,CanalDensCat
Canal Density,Watershed,1.3347,"Density of NHDPlusV2 line features within the total upstream watershed classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,1.3347,Disturbance,Infrastructure,CanalDensWs
