US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21711740,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,0.0657,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is greater than 10%.,0,%,100,0.0657,Disturbance,Agriculture,PctAg2006Slp10Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.4004,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is greater than 10%.,2.05655526992,%,100,1.4004,Disturbance,Agriculture,PctAg2006Slp10Ws
2006 National Land Cover Database Agricultural Land Cover on Slopes,Catchment,0.0657,Percent agricultural land cover (classes 81 and 82) of the catchment area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,0.0657,Disturbance,Agriculture,PctAg2006Slp20Cat
2006 National Land Cover Database Agricultural Land Cover on Slopes,Watershed,1.4004,Percent agricultural land cover (classes 81 and 82) of the watershed area classified by the NLCD2006 landscape raster where slope is equal to or greater than 20%.,0,%,100,1.4004,Disturbance,Agriculture,PctAg2006Slp20Ws
Agricultural Nitrogen Inputs,Catchment,0.0657,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the local catchment.,0.328767123287671,kg/ha/yr,100,0.0657,Disturbance,Pollution,CBNFCat
Agricultural Nitrogen Inputs,Watershed,1.4004,Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr within the total upstream watershed.,1.59254498714653,kg/ha/yr,100,1.4004,Disturbance,Pollution,CBNFWs
Agricultural Nitrogen Inputs,Catchment,0.0657,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the local catchment.,6.13698630136986,kg/ha/yr,100,0.0657,Disturbance,Pollution,FertCat
Agricultural Nitrogen Inputs,Watershed,1.4004,Mean rate of synthetic nitrogen fertilizer application in kg N/ha/yr within the total upstream watershed.,29.7275064267352,kg/ha/yr,100,1.4004,Disturbance,Pollution,FertWs
Agricultural Nitrogen Inputs,Catchment,0.0657,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the local catchment.,0,kg/ha/yr,100,0.0657,Disturbance,Pollution,ManureCat
Agricultural Nitrogen Inputs,Watershed,1.4004,Mean rate of manure application from confined animal feeding operations in kg N/ha/yr within the total upstream watershed.,0,kg/ha/yr,100,1.4004,Disturbance,Pollution,ManureWs
Base Flow Index,Catchment,0.0657,"Ratio of base flow to total flow, expressed as a percentage within the local catchment.",48.4383561643836,%,100,0.0657,Natural,Hydrology,BFICat
Base Flow Index,Watershed,1.4004,"Ratio of base flow to total flow, expressed as a percentage within the total upstream watershed.",49.1015424164524,%,100,1.4004,Natural,Hydrology,BFIWs
Canal Density,Catchment,0.0657,"Density of NHDPlusV2 line features within the local catchment classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,0.0657,Disturbance,Infrastructure,CanalDensCat
Canal Density,Watershed,1.4004,"Density of NHDPlusV2 line features within the total upstream watershed classified as canal, ditch, or pipeline.(kilometer of canal/square kilometer).",0,km/km²,100,1.4004,Disturbance,Infrastructure,CanalDensWs
National Coal Resource Dataset System,Catchment,0.0657,Density of georeferenced coal mine sites within the local catchment.,0,sites/km²,100,0.0657,Disturbance,Mines,CoalMineDensCat
National Coal Resource Dataset System,Watershed,1.4004,Density of georeferenced coal mine sites within the total upstream watershed.,0,sites/km²,100,1.4004,Disturbance,Mines,CoalMineDensWs
Dam Density and Storage Volume,Catchment,0.0657,Density of georeferenced dams within the local catchment.,0,dams/km²,100,0.0657,Disturbance,Infrastructure,DamDensCat
Dam Density and Storage Volume,Watershed,1.4004,Density of georeferenced dams within the upstream watershed.,0,dams/km²,100,1.4004,Disturbance,Infrastructure,DamDensWs
Dam Density and Storage Volume,Catchment,0.0657,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the local catchment.,0,m³/km²,100,0.0657,Disturbance,Infrastructure,DamNIDStorM3Cat
Dam Density and Storage Volume,Watershed,1.4004,Mean NID storage volume of all dam reservoirs (NID_STORA in NID) within the total upstream watershed.,0,m³/km²,100,1.4004,Disturbance,Infrastructure,DamNIDStorM3Ws
Dam Density and Storage Volume,Catchment,0.0657,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the local catchment.,0,m³/km²,100,0.0657,Disturbance,Infrastructure,DamNrmStorM3Cat
Dam Density and Storage Volume,Watershed,1.4004,Mean normal storage volume of all dam reservoirs (NORM_STORA in NID) within the total upstream watershed.,0,m³/km²,100,1.4004,Disturbance,Infrastructure,DamNrmStorM3Ws
National Elevation Dataset,Catchment,0.0657,Mean of all elev_cm values within the local catchment divided by 100 to convert cm to m.,215.865616438,m,100,0.0657,Natural,Topography,ElevCat
National Elevation Dataset,Watershed,1.4004,Mean of all elev_cm values within the upstream watershed divided by 100 to convert cm to m.,227.974736504,m,100,1.4004,Natural,Topography,ElevWs
